Date Added,Title,Type,Item Link,Local Control Number,ISBN10,ISBN13,ISSN,EISSN,DOI,Importance,Note for Student
19/09/2021 12:03,What They Forgot to Teach You About R,Book,http://yorksj.rl.talis.com/items/272D1365-C9B4-A976-94D0-0401B0BF50A0.html,,,,,,,Further Reading,
16/09/2021 06:07,"Causality : models, reasoning, and inference",Book,http://yorksj.rl.talis.com/items/01A10E23-5FB9-8991-EF51-5C2DEAEC65C0.html,,,9.78051E+12,,,,Further Reading,
29/09/2021 15:12,Sex Bias in Graduate Admissions: Data from Berkeley,Article,http://yorksj.rl.talis.com/items/8082b20d-b125-407c-9c0d-a77c9a68d527.html,,,,368075,,,Further Reading,
05/05/2021 06:27,Using R for data analysis in social sciences : a research project-oriented approach,Book,http://yorksj.rl.talis.com/items/D7871E89-0027-C90A-8127-9AE888F4526B.html,,,9.78019E+12,,,,Further Reading,
19/09/2020 15:45,"Clear, rigorous and relevant: publishing quantitative research articles in",Article,http://yorksj.rl.talis.com/items/CA757660-A073-9FF4-AEA4-A5589794E0E0.html,,,,0950-0170,1469-8722,10.1177/0950017014526448,Further Reading,
25/01/2021 09:02,Accessibility Support Service,Webpage,http://yorksj.rl.talis.com/items/01ce5e3d-ad15-4231-a1f9-50fb75a739b7.html,,,,,,,Further Reading,
25/01/2021 09:02,RNIB Bookshare - accessible books for disabled learners,Webpage,http://yorksj.rl.talis.com/items/2b9b6625-0d5f-4141-bc47-5bd83520cd08.html,,,,,,,Further Reading,
25/01/2021 09:02,Document Scanning Request form,Webpage,http://yorksj.rl.talis.com/items/5f2ae8b8-c423-4ef4-b874-433c99cec10b.html,,,,,,,Further Reading,
09/06/2021 12:31,Regression and other stories,Book,http://yorksj.rl.talis.com/items/ca2edf88-e415-4525-ab0b-1ae66ec930d9.html,496866,,9.78111E+12,,,,Set Text,ROS Ch. 1  (This title is available in print only!)
01/10/2021 10:07,The Methodological Divide of Sociology: Evidence from Two Decades of Journal Publications,Article,http://yorksj.rl.talis.com/items/83DA3E1D-CED0-724A-43FC-EC4C2CCB714D.html,,,,0038-0385,1469-8684,10.1177/0038038519853146,Essential Reading,
20/09/2021 08:49,Computation and the Sociological Imagination,Article,http://yorksj.rl.talis.com/items/95B2CEFF-81DF-B4E1-85EA-36497D104778.html,,,,1536-5042,1537-6052,10.1177/1536504219883850,Essential Reading,
21/09/2020 11:10,Replication for Quantitative Research,Chapter,http://yorksj.rl.talis.com/items/845276be-1b22-4ec8-8778-fd4237f98de9.html,,,9.78111E+12,,,,Further Reading,
21/09/2020 02:17,Replication Standards for Quantitative Social Science,Article,http://yorksj.rl.talis.com/items/EF68A412-04CC-7740-E8CE-30089B690BEA.html,,,,0049-1241,1552-8294,10.1177/0049124107306659,Further Reading,
01/10/2021 13:22,R for Social Scientists,Webpage,http://yorksj.rl.talis.com/items/e78eab30-e1d1-42ee-8859-0a10c92ca2eb.html,,,,,,,Essential Reading,R4SS Modules 1 & 2
